group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
Alistipes_putredinis	0.01921	0	0.73569	2.70016	0	0	0.10159	6.2679	0.06267	0.40205	0.56958	3.03644	1.58813	0	1.23567	6.71658	4.90752	4.41268	1.26813	4.63078	2.28371	8.9357	0.10645
Lachnospira_eligens	0.21843	0	0.15843	0	0	0	0	0.61859	0.1163	0.38251	0.07576	0	0.178	0	0.71213	0.10227	0.68247	0.09447	0.67363	0.35878	0.46708	0.41504	0.03039
Blautia_massiliensis	0.003	0	0.01774	0	0	0.00248	0.05614	0.34474	0	0.38065	0	0	0.01402	0.54024	0	0.10473	0	0.02107	0.17211	0.03139	0	0.06077	0
Clostridium_fessum	0.01258	0	0.17842	0.15047	0	0.33208	0.014	0.17519	0.02733	0.36716	0	0.31216	0.01913	0.05301	0	0.07828	0.47087	0.32536	0.22536	0.14903	0.10202	0.18048	0
Ruminococcaceae_bacterium	2.81851	0.22503	0.36218	0.88379	0	0.09791	0.15555	0.41678	0.0316	0.36476	0.51862	0.00848	0.5959	0	0	0.82633	3.94881	5.10537	0.24464	0.45684	0.47923	0.26527	5.09941
Parabacteroides_distasonis	9.26417	0	0.57577	2.49226	0	0.75741	11.22817	0.8812	0.17962	0.36045	3.07534	0.85479	0	1.42652	0.24735	0.20816	0.34639	0.58338	0.59364	0.84203	0.65939	0.70669	0.38693
Catenibacterium_sp_AM22_15	0	0	0.05164	0	0	0.05376	0	0	0.00671	0.33845	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_stercoris	0	0	0	0.57625	0	0.37885	0	4.58067	0	0.32434	0.07003	0	0.14642	9.44834	0	0	0	1.95991	0.63077	0.58871	0	0	0.43557
Lentisphaeria_bacterium	0.33294	0	0	0	0	0	0.60961	0	0	0.30739	0.06121	0.00259	0.05434	0	0	0.41661	0.04833	0.56282	0	0.1983	0	0.79357	0.61839
Desulfovibrio_piger	0.44064	0	0.18077	0	0	0	0.35134	0	0	0.30369	0.18814	0.00037	0	0	0	0	0	0	0	0	0	0	0
Odoribacter_splanchnicus	0.05984	5.59441	0.15222	0.41819	0	0	0.91596	0	0.00995	0.29228	1.64115	1.33336	0.71466	0	0.16226	0.89443	0.21051	0.43833	0.07809	0.91297	1.20099	0.25742	0.40112
Streptococcus_thermophilus	0	0.05361	0	0.03123	0	0	0.05106	0	0.03678	0.26436	0	0	0	0	0	0.3447	0	0	0	0.02964	0.00986	0	0
Alistipes_communis	0	0	0.17538	0	0	0	0.39527	0	0	0.26187	0.00771	0	0	0	0	1.89832	0.20295	0.79191	0.48162	0	0.13552	0.81	0.05783
Alistipes_senegalensis	0.38447	0	0.42607	0	0	0	0.81546	0.88794	0	0.20893	0.20628	0	0	0	0	0.12767	0.06675	0	0	0	0	0.22037	0
Ruminococcaceae_unclassified_SGB15236	0.31798	0	0.07776	0	0	0	0.40584	0.73139	0	0.2023	0.40965	0	0.16706	0	0	0	1.0725	0.28331	0	0.07137	0.34245	0.05995	0
Paraprevotella_clara	0.25172	0	0.06335	0	0	0	0.37486	0	0	0.19015	0	0	0	0	0	0.66415	0	0	1.05936	0	0	0	0
Ruminococcaceae_unclassified_SGB15309	0	0	0	0	0	0	0	0	0	0.17168	0.00165	0	0.08536	0.04063	0	0	0	0	0	0	0	0	0
Eubacterium_siraeum	0.01752	0	0.0307	1.38608	0	0.00691	0	0.04684	0	0.16335	0	0	0	0	0	1.15584	1.79957	0	0.01045	0	0.5023	0	0.00997
Candidatus_Schneewindia_gallinarum	0	0	0	0	0	0	0	0	0	0.16118	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_ovatus	1.06383	0	0.33559	0.03973	0	1.2118	0.3953	1.9909	0	0.15519	4.80391	0.52909	3.45797	4.0087	1.16146	0.69743	0.44231	0.75436	0.22857	0.71863	0.79428	3.87537	0.08719
GGB9699_SGB15216	0.0057	0	0.2503	0.86541	0	0	0.06039	0.67983	0	0.14615	0.03246	0.10649	0.29245	0	0	1.01599	0.23614	0.03255	0.25294	0.1397	0.01488	0.08043	0.11141
Roseburia_inulinivorans	0.05234	1.32364	0.01979	0.35874	0	1.14297	0	1.74346	0.00717	0.14332	0.15065	0.02432	0	0	0.25564	0.06463	0.22159	0.14544	0.66873	0.02257	0.2582	0.81769	0
Blautia_SGB4805	0	0	0.01189	0	0	0	0.02309	0.02566	0	0.13565	0	0	0	0	0	0.00325	0	0	0.056	0	0	0	0
Lachnospiraceae_bacterium	0.02887	0.08642	0.11692	0.38914	0	0.4644	0.08672	0.55879	0.027	0.1181	0.0484	0.6458	0.37951	0.37687	0	0.21885	0.4174	1.28416	0.91389	0.26225	0.49183	0.92082	0.60259
Eubacterium_ramulus	0	0.1172	0.0116	0	0	0.00195	0	0	0	0.11517	0	0.01687	0.08482	0.14369	0	0.27896	0	0	0.02932	0	0	0.07894	0
Coriobacteriales_unclassified_SGB72475	0	0	0	0	0	0	0	0	0	0.10471	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_catus	0	0	0.04708	0	0	0	0	0.20126	0	0.09266	0.0049	0.03113	0.00057	0.15761	0	0.0711	0	0.03311	0.33085	0.01318	0	0.02841	0
GGB1266_SGB1699	0.80952	0	0.15267	0	0	0	0.06756	0	0	0.08919	0	0	0	0	0	1.61722	1.42443	0	0	0	0	0	0
Gemmiger_formicilis	0	0	0.07979	0.23098	0	0.2533	0	1.01164	0.16532	0.08593	0.35204	0.25388	0.16079	2.21467	0.21124	0.20942	0.6646	0.17592	0.83548	0.29961	0.1879	0.19062	0
GGB4750_SGB6579	0.00587	0	0	0	0	0	0.39617	0	0	0.08566	6.2273	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_adolescentis	0	0	0	0.09971	0	0	0	0	0.05663	0.08555	0	0	0	0	0	0.02239	0.19062	0.08438	1.2438	0	0	0	0.2735
Ruminococcus_callidus	0.42457	0	0.16989	0.07901	0	0.03353	0	0.00866	0	0.08507	0.08377	0	0	0	0	0	0	0.00174	0	0	0	0.40049	0
Akkermansia_muciniphila	1.97181	0	0	4.92399	0	0.28433	1.0873	0	0	0.0787	3.27625	0	0	0	0	0	0.58911	0.68603	0	0	0	0.093	0
Blautia_faecis	0.01924	0	0.09114	0.06515	0	0.01852	0	0.62831	0.00637	0.06493	0.05773	0.02278	0.00744	0.11479	0	0.00041	0	0.20461	1.31316	0.00249	0.03405	0.27496	0.00996
Blautia_sp_MSK_21_1	0	0	0	0	0	0	0	0.02001	0	0.06448	0	0	0	0	0	0	0	0	0.00411	0	0	0	0
GGB9691_SGB15198	0	0	0	0	0	0	0	0	0	0.06429	0.0055	0	0	0	0	0	0	0	0	0	0	0	0
GGB9615_SGB15053	0.13923	0	0.0107	0.52855	0	0	0.01411	0.32605	0	0.0627	0.1525	0.26285	0.95843	1.07186	0	0	0.36202	1.37896	0.12777	0.34432	0.79816	1.0185	0
Dorea_formicigenerans	0	0.0737	0.0241	0.00491	0	0.0202	0.01336	0.19615	0	0.05981	0.00398	0.13089	0	0.10916	0	0.00422	0	0.10613	0.14619	0.05131	0.00026	0.00954	0
Blautia_SGB4815	0	0	0.0462	0	0	0	0.00624	0.3598	0	0.05763	0	0.0075	0	0	0	0	0	0.02816	0.05014	0	0	0.00668	0.03669
GGB6566_SGB9275	0	0	0	0	0	0	0	0	0	0.05363	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea_sp_AF36_15AT	0.02871	0	0.07248	0	0	0	0.02165	0.00577	0	0.05139	0	0.00829	0	0.00833	0	0.00391	0	0.02752	0	0	0	0.01106	0
Blautia_obeum	0	0.20233	0.18879	0.0718	0	0	0.01157	1.3438	0.06909	0.05086	0.18136	0.30476	0	0.09408	0	0.00529	0	0.26523	1.10768	0.24757	0.02589	0.23685	0.18961
GGB3746_SGB5089	0	0	0	0	0	0	0	0	0	0.04862	0	0	0	0	0	0	0.51984	0.15303	0.48487	0.03251	0.34098	0.13641	0
Streptococcus_parasanguinis	0	0	0	0.1268	0	0.01466	0.00483	0	0	0.04753	0.03964	0	0	0.00229	0	0	0	0	0	0	0	0.00555	0
Roseburia_faecis	0.01931	1.04375	0.04107	0	0	0	0	1.3138	0	0.04294	0.0383	0	0	1.83369	0.05787	0	0.01873	0	4.05389	0	0.14306	2.16261	0.08805
Megamonas_funiformis	0	0	0.0885	0	0	0	0	0	0	0.03955	0	0	0.02169	0	0	0	0	0	0	0	0	0	0
GGB9632_SGB15089	0	0	1.71395	0	0	0.09869	0.03688	0.17564	0	0.03893	0	0.10363	0	0.00958	0	0.19307	0	0.01846	0.32074	0.02248	0.00655	0	0.00444
Trueperella_pyogenes	0	0	0.00138	0	0	0	0	0.02452	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_rectale	0.30055	0.07593	1.39631	0.19228	0	0.01065	0.01584	3.47783	0.41571	0.03589	0.01413	0.03317	0.06768	1.08107	0	0.10027	5.22437	6.11904	23.83731	4.05033	0.88172	0.5009	0.06598
Phocaeicola_coprocola	0	0	0	0	0	0	0.02273	0	0	0.02691	0.06628	0	0	0	0	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	0	0	0	0	0.01241	0	0	0.02459	0	0	0	0	0	0	0	0	0	0	0	0	0
Senegalimassilia_anaerobia	0.00215	0	0.05646	0	0	0	0.01071	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes_hadrus	0	0.04272	0.04322	0.2177	0	0	1.44817	1.70703	0.11304	0.02097	0	0.08228	0.04973	0.26946	0.04449	0.34962	0	0.10229	0.16839	0	0.00183	0.18715	0.12018
Romboutsia_timonensis	0	0	0	0.00289	0	0.00068	0	0.0178	0	0.02093	0	0	0	0	0.31072	0.02807	0	0	0.03588	0	0.03025	0	0.00955
Oscillibacter_sp_ER4	0	0	0.16326	1.75692	0	0	0.03022	0.91172	0.01114	0.02077	0.05263	0.02985	0.73213	1.3041	0.22479	3.51992	0.35405	1.09889	0.44569	1.32132	1.58623	0.99593	0
Mediterraneibacter_butyricigenes	0	0	0.00098	0	0	0	0	0.02157	0	0.02072	0	0.00247	0	0	0	0	0	0	0	0	0	0	0.00391
Blautia_SGB4831	0	0	0.02712	0	0	0	0	0.07184	0.00771	0.01973	0	0	0	0	0	0.01209	0	0	0.00433	0	0	0	0
Candidatus_Cibiobacter_qucibialis	0.06174	0	0.18757	0.07066	0	0.15436	0.23603	1.48967	0.00761	0.01968	0.1555	0.27494	1.45875	1.67006	0	1.5469	0.30517	2.95499	4.34496	1.55479	0.02082	2.49388	0.80809
Firmicutes_bacterium_AF16_15	0	0.03308	0.03617	0	0	0.02576	0	0.12728	0	0.01958	0	1.34155	3.11463	0.40304	0	0.06511	0.46039	0.86782	0.63136	0.83523	0.49443	1.7877	0
Agathobaculum_butyriciproducens	0	0.052	0.03576	0.00935	0	0.12074	0	0.0616	0.00199	0.01856	0.00363	0.17051	0	0.02442	0	0.02273	0.01176	0.01968	0.08234	0.02562	0	0	0
Clostridium_sp_AF20_17LB	0	0	0	0.01726	0	0.03967	0	0.01267	0	0.01477	0	0.17253	0.15577	0.10497	0	0	0.00895	0.14811	0.06436	0.04846	0	0	0
Lacrimispora_celerecrescens	0	0	0.06107	0	0	0.0081	0	0	0	0.0145	0	0.02455	0	0	0	0.09299	0	0	0.04571	0.20781	0.02057	0.15638	0
Allisonella_histaminiformans	0	0	0	0	0	0.04315	0	0	0	0.01402	0	0	0	0	0	0	0	0	0	0.02569	0	0	0
Collinsella_bouchesdurhonensis	0	0.01096	0	0	0	0	0	0	0	0.01384	0.00513	0	0	0	0	0	0	0	0	0	0	0	0
GGB9730_SGB15291	0	0	0	0.01796	0	0.05993	0	0.02292	0.04414	0.01361	2.63769	0	0	0	0	0	0.04745	0.05901	0.13951	0.0745	0	0	0
Sanguibacteroides_justesenii	0	0	0	0	0	0	0	0	0	0.01026	0	0	0	0	0	0	0.04022	0	0	0	0	0	0
Lachnospira_SGB5077	0	0.00373	0	0.05672	0	0	0	0	0	0.00968	0.02315	0	0	0	0.2066	0	0	0.34999	0.49445	0	0	0	0
Alistipes_sp_AF17_16	0.11372	0	0	0	0	0.00481	0	0	0	0.00795	0	0	0	0	0	0.38975	0.04325	0	0.04594	0	0.05007	0.10434	0
Gemmiger_sp_An120	0	0	0	0	0	0	0.00881	0	0	0.00694	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptococcaceae_bacterium	0	0	0	0	0	0	0.00088	0	0	0.00589	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacter_secundus	0.6721	0	0	0	0	0	0	0	0	0.0047	0	0.01137	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_AM22_11AC	0.02477	0	0.05361	0.05369	0	0.11403	0	0.0006	0.05938	0.00447	0	0.25682	0.04121	0.10565	0.03742	0	0.12698	0	0.01586	0.05477	0.00496	0.02182	0
Anaerotignum_faecicola	0	0.98512	0.00966	0.28494	0	0	0	0.21963	0	0.00256	0.06207	0.079	0.06113	0	0	0	0.0352	0.22285	0	0.282	0.01194	0.02264	0.14748
Candidatus_Borkfalkia_ceftriaxoniphila	0	0	0.25222	0.02789	0	0	0	0.00603	0	0.00077	0	0	0.08085	0	0	0	0.34851	0.02877	0	0	0	0.09403	0.02907
GGB2977_SGB3959	0.00131	0	0	0	0	0	0	0	0	0.0007	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis	0.31675	0	0.05822	0	0	0	1.5345	4.83612	0	0	5.2285	0	0.00446	1.5812	0	0	0	0.14905	0.15625	0	0.03373	0.06378	0.58257
Duodenibacillus_massiliensis	0	4.64945	0	0	0	0	0	0	0.01431	0	3.59916	1.62278	0	0	0	0	0	0	0	0	0	0	0
GGB4569_SGB6310	0	0	0	0	0	0	0.00116	0	0.19178	0	2.61014	0	0	0	0	2.8104	0.02693	0	0	0.16018	0	0	0
Bacteroides_caccae	19.03185	0	0.09631	1.06869	0	0	0.44982	0	0.08839	0	2.39923	0	2.68701	0	0.0892	1.20424	0.19572	1.6383	3.30584	0.36299	0.39042	0	0
Blastocystis_sp_subtype_1	0	0	0	0	0	0	0	0	0	0	1.67216	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_salyersiae	0	0	0.23504	0	0	0	0	0	0	0	1.21302	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola_coprophilus	0	0	0	0	0	0	0	0	0	0	0.48962	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_WCA3_601_WT_6H	0.09347	2.0359	0	1.93464	0	0.55721	0	0.12758	0.44111	0	0.44261	0.09193	0.00874	0	0	0.54165	0.50677	0.62717	0.21677	0.02614	0.13451	0	0
Ruminococcus_bromii	2.74032	0	0.00571	0	0	0.12622	1.99858	1.22692	0	0	0.42998	0.15025	0	0	0	0	0.01766	0.42753	0.44192	0.17588	0.21985	0.54588	2.22751
Phocaeicola_dorei	0.58116	0	2.48952	0	0	0	0	13.84123	0	0	0.42038	6.97864	3.21488	0	0.22746	1.80766	0.04158	0	0	0	0	0	1.0349
Acholeplasmatales_unclassified_SGB6584	0	0	0	0	0	0	0	0	0	0	0.35817	0	0	0	0	0	0	0	0	0	0	0	0
