Group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00486	0	0.00138	0.00102	0	0	0	0.02482	0	0.0375	0	0	0	0	0	0	0	0	0	0	0.00071	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0	0	0	0.03416	0	0	0.01241	0	0	0.02459	0.01839	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0	0.03308	0.03617	0	0	0.02576	0.01042	0.12728	0	0.01958	0	1.34155	3.11463	0.40304	0	0.06511	0.46039	0.9066	0.63136	0.83523	0.49443	1.79423	0.01374
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales	0	0	0.25222	0.02789	0	0	0	0.00603	0	0.00077	0	0	0.08085	0	0	0	0.34851	0.02877	0	0	0	0.09403	0.02907
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	5.89821	3.48864	2.19202	1.23729	0	0.17247	29.99662	1.43488	0.49545	17.1724	17.57424	1.28541	2.52269	0.91976	0.16316	13.37283	8.83733	10.00415	3.13702	4.81402	1.3054	2.71167	17.52878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	13.41534	14.43023	7.84902	14.6936	0	7.9817	14.43991	25.47913	0.53734	12.78383	8.87242	14.76145	18.84563	16.15798	6.4751	20.81861	22.82477	24.80041	21.79007	13.83373	8.41354	13.0932	20.80417
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	13.60208	0.10668	4.83321	6.98154	0	0.74503	13.23757	7.66513	0.24381	11.93803	7.18188	9.74829	4.33406	2.24968	1.99301	21.43312	8.97077	9.72713	3.65507	5.97461	5.66248	12.29414	2.53284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	13.88142	0	13.38771	5.68121	0	0.75741	13.95748	0.8812	0.25336	10.52131	19.21347	1.61324	0	1.42652	0.73679	0.85383	1.32373	2.75618	2.5111	1.31714	1.59687	1.14474	0.93497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	25.58808	12.70528	39.29855	8.94908	0	1.59066	4.20041	17.96856	36.79543	10.41336	15.47444	10.80929	10.10863	25.60479	1.92753	3.62091	1.67033	11.06211	10.05267	2.81409	3.16494	23.61267	4.34343
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.2213	38.07463	19.96356	20.53296	0	67.07472	1.97147	0.10606	56.28376	9.71485	0.35635	35.24436	37.86252	0	68.99121	6.1054	25.8422	0	1.05936	42.10657	54.29371	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.0553	8.44166	3.60652	5.01501	0	6.50422	4.27471	18.25501	1.89847	8.93693	2.16328	2.35883	2.56101	11.23815	1.34881	5.02831	8.21219	14.86096	40.29959	8.18238	4.37399	8.94315	4.00766
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.25142	4.64945	0.54567	1.00402	0	0	0.14996	3.14437	0.01431	3.38967	5.83945	1.62278	0.19037	1.59334	6.84065	2.32681	0.71932	1.06215	1.32562	0.6574	0.99409	1.12977	0.01016
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.3168	1.67676	0.00463	0.24275	12.26747	5.07284	0	0.19285	0.04982	2.82004	0.47347	0	0.01751	0.56126	0.59051	0.21398	0	0.00371	0.3167	8.14043	2.55907	0.34619	0.10369
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2.7256	8.17382	3.03785	16.43494	0	7.01918	0.57249	18.33907	2.57832	2.77811	2.01128	9.33461	9.76288	33.84313	8.16765	3.9171	2.49534	7.34042	4.53576	5.29958	10.68682	19.89014	6.42366
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	6.45392	0.04601	0.06861	0.34014	8.06877	0.24063	0	0.40934	0	2.05027	0	0	0	0.00375	0	0.21381	0	0	0.45158	0.25151	0.18354	0.00156	0.24471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.01055	0.43364	0.67731	0.18514	0	0.05238	0.0129	0.00659	0	1.68209	0.06401	0.32199	0.13821	1.46681	0	0.27896	0.08273	0.36592	1.83171	0.68527	0.01961	0.08364	0.06283
